"municipality","Municipality_code","date","d0","d1","d7","d8","d14","jan1","lowest_since_jan1","lowest_since_jan1_date","current","increase_1d","increase_7d","increase_14d","increase_growth","growth","population","rel_increase_1d","rel_increase_7d","rel_increase_14d"
"Hulst","GM0677",2021-12-16,13,13,13,13,13,11,11,2021-01-01,13,0,0,0,0,"-",27545,0,0,0
"Kapelle","GM0678",2021-12-16,6,6,6,6,6,3,3,2021-01-01,6,0,0,0,0,"-",13015,0,0,0
"Middelburg","GM0687",2021-12-16,32,32,32,32,32,16,16,2021-01-01,32,0,0,0,0,"-",49189,0,0,0
"Reimerswaal","GM0703",2021-12-16,20,20,20,19,18,5,5,2021-01-01,20,0,0,2,-100,"&#x2798;",22926,0,0,8.72371979412021
"Terneuzen","GM0715",2021-12-16,34,34,34,34,32,13,13,2021-01-01,34,0,0,2,-100,"&#x2798;",54518,0,0,3.66851315161965
"Tholen","GM0716",2021-12-16,33,33,32,32,32,22,22,2021-01-01,33,0,1,1,100,"&#x279A;",26384,0,3.7901758641601,3.7901758641601
"Veere","GM0717",2021-12-16,9,9,9,9,9,2,2,2021-01-01,9,0,0,0,0,"-",21860,0,0,0
"Vlissingen","GM0718",2021-12-16,36,36,36,35,35,7,7,2021-01-01,36,0,0,1,-100,"&#x2798;",44531,0,0,2.24562664211448
"De Ronde Venen","GM0736",2021-12-16,50,49,46,45,43,30,30,2021-01-01,50,1,4,7,33.3333333333333,"&#x279A;",44921,2.2261303176688,8.90452127067519,15.5829122236816
"Tytsjerksteradiel","GM0737",2021-12-16,32,32,32,32,32,4,4,2021-01-01,32,0,0,0,0,"-",32296,0,0,0
"Asten","GM0743",2021-12-16,19,19,19,19,18,15,15,2021-01-01,19,0,0,1,-100,"&#x2798;",17072,0,0,5.85754451733833
"Baarle-Nassau","GM0744",2021-12-16,4,4,4,4,4,4,4,2021-01-01,4,0,0,0,0,"-",6951,0,0,0
"Bergen op Zoom","GM0748",2021-12-16,50,50,50,50,49,33,33,2021-01-01,50,0,0,1,-100,"&#x2798;",67878,0,0,1.47323138572144
"Best","GM0753",2021-12-16,34,34,33,33,32,19,19,2021-01-01,34,0,1,2,0,"-",30519,0,3.27664733444739,6.55329466889479
"Boekel","GM0755",2021-12-16,23,23,23,23,23,21,21,2021-01-01,23,0,0,0,0,"-",11043,0,0,0
"Boxmeer","GM0756",2021-12-16,53,53,53,53,52,36,36,2021-01-01,53,0,0,1,-100,"&#x2798;",29759,0,0,3.36032796800968
"Boxtel","GM0757",2021-12-16,72,72,72,71,71,46,46,2021-01-01,72,0,0,1,-100,"&#x2798;",33131,0,0,3.01832120974314
"Breda","GM0758",2021-12-16,181,181,176,175,170,128,128,2021-01-01,181,0,5,11,-16.6666666666667,"&#x2798;",184853,0,2.70485196345204,5.95067431959449
"Deurne","GM0762",2021-12-16,50,50,50,50,49,35,35,2021-01-01,50,0,0,1,-100,"&#x2798;",32595,0,0,3.06795520785397
"Pekela","GM0765",2021-12-16,13,13,13,13,13,2,2,2021-01-01,13,0,0,0,0,"-",12195,0,0,0
"Dongen","GM0766",2021-12-16,30,29,26,26,26,22,22,2021-01-01,30,1,4,4,400,"&#x279A;",26497,3.77401215231913,15.0960486092765,15.0960486092765
"Eersel","GM0770",2021-12-16,32,32,32,32,32,19,19,2021-01-01,32,0,0,0,0,"-",19802,0,0,0
"Eindhoven","GM0772",2021-12-16,391,390,383,382,374,172,172,2021-01-01,391,1,8,17,-11.1111111111111,"&#x2798;",238238,0.419748318907983,3.35798655126386,7.13572142143571
"Etten-Leur","GM0777",2021-12-16,40,40,40,40,40,31,31,2021-01-01,40,0,0,0,0,"-",44033,0,0,0
"Geertruidenberg","GM0779",2021-12-16,29,29,27,27,26,19,19,2021-01-01,29,0,2,3,100,"&#x279A;",21920,0,9.12408759124088,13.6861313868613
"Gilze en Rijen","GM0784",2021-12-16,20,20,20,20,20,18,18,2021-01-01,20,0,0,0,0,"-",26631,0,0,0
"Goirle","GM0785",2021-12-16,42,42,41,41,41,24,24,2021-01-01,42,0,1,1,100,"&#x279A;",24033,0,4.16094536678733,4.16094536678733
"Grave","GM0786",2021-12-16,25,25,25,25,24,23,23,2021-01-01,25,0,0,1,-100,"&#x2798;",12499,0,0,8.0006400512041
"Helmond","GM0794",2021-12-16,90,89,89,89,87,55,55,2021-01-01,90,1,1,3,-50,"&#x2798;",93386,1.07082432056197,1.07082432056197,3.21247296168591
"'s-Hertogenbosch","GM0796",2021-12-16,187,187,187,187,185,127,127,2021-01-01,187,0,0,2,-100,"&#x2798;",156405,0,0,1.27873149835363
"Heusden","GM0797",2021-12-16,55,55,54,52,51,41,41,2021-01-01,55,0,1,4,-66.6666666666667,"&#x2798;",45530,0,2.19635405227323,8.78541620909291
"Hilvarenbeek","GM0798",2021-12-16,20,20,20,20,20,18,18,2021-01-01,20,0,0,0,0,"-",15785,0,0,0
"Loon op Zand","GM0809",2021-12-16,45,45,43,42,41,30,30,2021-01-01,45,0,2,4,0,"-",23779,0,8.4107826233231,16.8215652466462
"Mill en Sint Hubert","GM0815",2021-12-16,12,12,11,11,10,7,7,2021-01-01,12,0,1,2,0,"-",11043,0,9.05551027800417,18.1110205560083
"Nuenen, Gerwen en Nederwetten","GM0820",2021-12-16,27,27,24,24,24,14,14,2021-01-01,27,0,3,3,300,"&#x279A;",23815,0,12.5971026663867,12.5971026663867
"Oirschot","GM0823",2021-12-16,27,27,27,27,27,20,20,2021-01-01,27,0,0,0,0,"-",19050,0,0,0
"Oisterwijk","GM0824",2021-12-16,26,25,25,25,24,16,16,2021-01-01,26,1,1,2,0,"-",32554,3.07181913128955,3.07181913128955,6.1436382625791
"Oosterhout","GM0826",2021-12-16,43,43,42,42,42,32,32,2021-01-01,43,0,1,1,100,"&#x279A;",56466,0,1.77097722523288,1.77097722523288
"Oss","GM0828",2021-12-16,137,137,136,136,134,106,106,2021-01-01,137,0,1,3,-50,"&#x2798;",93146,0,1.07358340669487,3.2207502200846
"Rucphen","GM0840",2021-12-16,18,18,18,18,18,12,12,2021-01-01,18,0,0,0,0,"-",23376,0,0,0
"Sint-Michielsgestel","GM0845",2021-12-16,44,44,43,43,43,28,28,2021-01-01,44,0,1,1,100,"&#x279A;",29649,0,3.37279503524571,3.37279503524571
"Someren","GM0847",2021-12-16,21,20,18,18,15,10,10,2021-01-01,21,1,3,6,0,"-",19659,5.08672872475711,15.2601861742713,30.5203723485427
"Son en Breugel","GM0848",2021-12-16,29,29,29,29,28,22,22,2021-01-01,29,0,0,1,-100,"&#x2798;",17719,0,0,5.64365934872171
"Steenbergen","GM0851",2021-12-16,21,21,21,21,21,15,15,2021-01-01,21,0,0,0,0,"-",24412,0,0,0
"Waterland","GM0852",2021-12-16,18,18,18,18,18,14,14,2021-01-01,18,0,0,0,0,"-",17315,0,0,0
"Tilburg","GM0855",2021-12-16,297,297,296,295,291,245,245,2021-01-01,297,0,1,6,-80,"&#x2798;",224167,0,0.446095990935329,2.67657594561198
"Uden","GM0856",2021-12-16,91,91,90,90,89,70,70,2021-01-01,91,0,1,2,0,"-",42415,0,2.35765648944949,4.71531297889897
"Valkenswaard","GM0858",2021-12-16,69,69,69,68,68,45,45,2021-01-01,69,0,0,1,-100,"&#x2798;",31246,0,0,3.20040965243551
"Veldhoven","GM0861",2021-12-16,53,53,53,53,52,29,29,2021-01-01,53,0,0,1,-100,"&#x2798;",45819,0,0,2.18250070931273
"Vught","GM0865",2021-12-16,55,55,53,53,53,39,39,2021-01-01,55,0,2,2,200,"&#x279A;",31721,0,6.3049714700041,6.3049714700041
"Waalre","GM0866",2021-12-16,17,17,17,17,17,10,10,2021-01-01,17,0,0,0,0,"-",17591,0,0,0
"Waalwijk","GM0867",2021-12-16,81,81,78,78,78,65,65,2021-01-01,81,0,3,3,300,"&#x279A;",49385,0,6.0747190442442,6.0747190442442
"Woensdrecht","GM0873",2021-12-16,26,26,26,26,26,21,21,2021-01-01,26,0,0,0,0,"-",22138,0,0,0
"Zundert","GM0879",2021-12-16,17,17,17,17,17,13,13,2021-01-01,17,0,0,0,0,"-",22364,0,0,0
"Wormerland","GM0880",2021-12-16,36,36,35,35,35,14,14,2021-01-01,36,0,1,1,100,"&#x279A;",16365,0,6.11060189428659,6.11060189428659
"Landgraaf","GM0882",2021-12-16,87,87,84,84,84,29,29,2021-01-01,87,0,3,3,300,"&#x279A;",37100,0,8.08625336927224,8.08625336927224
"Beek","GM0888",2021-12-16,16,16,15,15,15,11,11,2021-01-01,16,0,1,1,100,"&#x279A;",15833,0,6.31592244047243,6.31592244047243
"Beesel","GM0889",2021-12-16,15,15,14,14,14,10,10,2021-01-01,15,0,1,1,100,"&#x279A;",13467,0,7.42555877329769,7.42555877329769
"Bergen (L.)","GM0893",2021-12-16,19,19,19,19,19,5,5,2021-01-01,19,0,0,0,0,"-",13132,0,0,0
"Brunssum","GM0899",2021-12-16,65,65,63,63,61,26,26,2021-01-01,65,0,2,4,0,"-",27673,0,7.22726122935714,14.4545224587143
"Gennep","GM0907",2021-12-16,31,31,31,31,30,16,16,2021-01-01,31,0,0,1,-100,"&#x2798;",17210,0,0,5.81057524694945
"Heerlen","GM0917",2021-12-16,155,155,150,150,144,66,66,2021-01-01,155,0,5,11,-16.6666666666667,"&#x2798;",86932,0,5.75162195739198,12.6535683062624
"Kerkrade","GM0928",2021-12-16,105,105,104,104,103,45,45,2021-01-01,105,0,1,2,0,"-",45355,0,2.20482857457833,4.40965714915665
"Maastricht","GM0935",2021-12-16,246,246,236,236,231,156,156,2021-01-01,246,0,10,15,100,"&#x279A;",121728,0,8.21503680336488,12.3225552050473
"Meerssen","GM0938",2021-12-16,42,42,41,41,38,17,17,2021-01-01,42,0,1,4,-66.6666666666667,"&#x2798;",18615,0,5.372011818426,21.488047273704
"Mook en Middelaar","GM0944",2021-12-16,13,13,13,13,13,9,9,2021-01-01,13,0,0,0,0,"-",7989,0,0,0
"Nederweert","GM0946",2021-12-16,28,27,26,25,25,15,15,2021-01-01,28,1,2,3,100,"&#x279A;",17312,5.77634011090573,11.5526802218115,17.3290203327172
"Roermond","GM0957",2021-12-16,77,77,76,75,74,29,29,2021-01-01,77,0,1,3,-50,"&#x2798;",59091,0,1.6923050887614,5.07691526628421
"Simpelveld","GM0965",2021-12-16,11,11,11,11,9,5,5,2021-01-01,11,0,0,2,-100,"&#x2798;",10432,0,0,19.1717791411043
"Stein","GM0971",2021-12-16,27,27,26,25,24,16,16,2021-01-01,27,0,1,3,-50,"&#x2798;",24815,0,4.02982067298005,12.0894620189402
"Vaals","GM0981",2021-12-16,16,16,16,16,16,5,5,2021-01-01,16,0,0,0,0,"-",10120,0,0,0
"Venlo","GM0983",2021-12-16,192,191,191,191,185,109,109,2021-01-01,192,1,1,7,-83.3333333333333,"&#x2798;",102324,0.977287830811931,0.977287830811931,6.84101481568351
"Venray","GM0984",2021-12-16,58,58,56,56,53,27,27,2021-01-01,58,0,2,5,-33.3333333333333,"&#x2798;",43951,0,4.55052217241929,11.3763054310482
"Voerendaal","GM0986",2021-12-16,12,12,12,12,12,8,8,2021-01-01,12,0,0,0,0,"-",12422,0,0,0
"Weert","GM0988",2021-12-16,91,91,86,86,84,41,41,2021-01-01,91,0,5,7,150,"&#x279A;",50263,0,9.94767522829915,13.9267453196188
"Valkenburg aan de Geul","GM0994",2021-12-16,31,31,29,29,28,13,13,2021-01-01,31,0,2,3,100,"&#x279A;",16228,0,12.3243776189302,18.4865664283954
"Lelystad","GM0995",2021-12-16,76,76,73,72,70,47,47,2021-01-01,76,0,3,6,0,"-",80954,0,3.70580823677644,7.41161647355288
"Horst aan de Maas","GM1507",2021-12-16,77,77,76,76,74,50,50,2021-01-01,77,0,1,3,-50,"&#x2798;",42988,0,2.32623057597469,6.97869172792407
"Oude IJsselstreek","GM1509",2021-12-16,57,57,56,56,54,26,26,2021-01-01,57,0,1,3,-50,"&#x2798;",39368,0,2.54013411908149,7.62040235724446
"Teylingen","GM1525",2021-12-16,27,27,27,27,26,9,9,2021-01-01,27,0,0,1,-100,"&#x2798;",37921,0,0,2.63706125893305
"Utrechtse Heuvelrug","GM1581",2021-12-16,83,82,78,77,77,35,35,2021-01-01,83,1,5,6,400,"&#x279A;",50045,1.99820161854331,9.99100809271656,11.9892097112599
"Oost Gelre","GM1586",2021-12-16,46,46,46,46,44,30,30,2021-01-01,46,0,0,2,-100,"&#x2798;",29619,0,0,6.75242243154732
"Koggenland","GM1598",2021-12-16,24,24,24,24,24,12,12,2021-01-01,24,0,0,0,0,"-",23037,0,0,0
"Lansingerland","GM1621",2021-12-16,70,70,70,70,70,53,53,2021-01-01,70,0,0,0,0,"-",64053,0,0,0
"Leudal","GM1640",2021-12-16,59,59,58,58,57,42,42,2021-01-01,59,0,1,2,0,"-",35972,0,2.77993995329701,5.55987990659402
"Maasgouw","GM1641",2021-12-16,41,41,40,40,40,16,16,2021-01-01,41,0,1,1,100,"&#x279A;",24046,0,4.15869583298678,4.15869583298678
"Gemert-Bakel","GM1652",2021-12-16,43,43,43,42,41,34,34,2021-01-01,43,0,0,2,-100,"&#x2798;",31052,0,0,6.44080896560608
"Halderberge","GM1655",2021-12-16,31,31,31,31,31,17,17,2021-01-01,31,0,0,0,0,"-",30738,0,0,0
"Heeze-Leende","GM1658",2021-12-16,13,13,13,13,13,13,13,2021-01-01,13,0,0,0,0,"-",16460,0,0,0
"Laarbeek","GM1659",2021-12-16,44,43,43,43,43,30,30,2021-01-01,44,1,1,1,100,"&#x279A;",22934,4.36033836225691,4.36033836225691,4.36033836225691
"Reusel-De Mierden","GM1667",2021-12-16,10,10,10,10,10,6,6,2021-01-01,10,0,0,0,0,"-",13259,0,0,0
"Roerdalen","GM1669",2021-12-16,39,39,39,39,38,14,14,2021-01-01,39,0,0,1,-100,"&#x2798;",20575,0,0,4.86026731470231
"Roosendaal","GM1674",2021-12-16,82,82,82,82,81,58,58,2021-01-01,82,0,0,1,-100,"&#x2798;",77285,0,0,1.29391214336547
"Schouwen-Duiveland","GM1676",2021-12-16,31,31,31,31,31,17,17,2021-01-01,31,0,0,0,0,"-",34223,0,0,0
"Aa en Hunze","GM1680",2021-12-16,21,21,21,21,21,1,1,2021-01-01,21,0,0,0,0,"-",25563,0,0,0
"Borger-Odoorn","GM1681",2021-12-16,21,21,20,20,18,11,11,2021-01-01,21,0,1,3,-50,"&#x2798;",25678,0,3.89438429784251,11.6831528935275
"Cuijk","GM1684",2021-12-16,33,33,33,33,33,18,18,2021-01-01,33,0,0,0,0,"-",25710,0,0,0
"Landerd","GM1685",2021-12-16,29,29,29,29,29,22,22,2021-01-01,29,0,0,0,0,"-",15936,0,0,0
"De Wolden","GM1690",2021-12-16,28,28,28,28,27,7,7,2021-01-01,28,0,0,1,-100,"&#x2798;",24518,0,0,4.07863610408679
"Noord-Beveland","GM1695",2021-12-16,10,10,10,10,10,1,1,2021-01-01,10,0,0,0,0,"-",7668,0,0,0
"Wijdemeren","GM1696",2021-12-16,24,24,24,24,23,8,8,2021-01-01,24,0,0,1,-100,"&#x2798;",24511,0,0,4.0798009057158
"Noordenveld","GM1699",2021-12-16,26,26,26,26,25,17,17,2021-01-01,26,0,0,1,-100,"&#x2798;",31253,0,0,3.19969282948837
"Twenterand","GM1700",2021-12-16,34,34,33,33,33,11,11,2021-01-01,34,0,1,1,100,"&#x279A;",33709,0,2.96656679225133,2.96656679225133
"Westerveld","GM1701",2021-12-16,24,24,24,24,23,6,6,2021-01-01,24,0,0,1,-100,"&#x2798;",19855,0,0,5.03651473180559
"Sint Anthonis","GM1702",2021-12-16,11,11,11,11,11,11,11,2021-01-01,11,0,0,0,0,"-",11825,0,0,0
"Lingewaard","GM1705",2021-12-16,50,50,46,45,43,19,19,2021-01-01,50,0,4,7,33.3333333333333,"&#x279A;",46996,0,8.51136266916333,14.8948846710358
"Cranendonck","GM1706",2021-12-16,58,58,58,58,57,43,43,2021-01-01,58,0,0,1,-100,"&#x2798;",20617,0,0,4.8503662026483
"Steenwijkerland","GM1708",2021-12-16,30,30,30,30,29,13,13,2021-01-01,30,0,0,1,-100,"&#x2798;",44637,0,0,2.24029392656317
"Moerdijk","GM1709",2021-12-16,53,53,53,53,51,24,24,2021-01-01,53,0,0,2,-100,"&#x2798;",37293,0,0,5.3629367441611
"Echt-Susteren","GM1711",2021-12-16,44,44,44,44,43,20,20,2021-01-01,44,0,0,1,-100,"&#x2798;",31773,0,0,3.14732634626884
"Sluis","GM1714",2021-12-16,23,23,22,22,22,14,14,2021-01-01,23,0,1,1,100,"&#x279A;",23206,0,4.30923037145566,4.30923037145566
"Drimmelen","GM1719",2021-12-16,31,31,31,31,31,22,22,2021-01-01,31,0,0,0,0,"-",27416,0,0,0
"Bernheze","GM1721",2021-12-16,82,82,82,82,80,68,67,2021-01-30,82,0,0,2,-100,"&#x2798;",31661,0,0,6.31691986987145
"Alphen-Chaam","GM1723",2021-12-16,5,5,5,5,5,5,5,2021-01-01,5,0,0,0,0,"-",10404,0,0,0
"Bergeijk","GM1724",2021-12-16,15,15,15,14,13,6,6,2021-01-01,15,0,0,2,-100,"&#x2798;",18863,0,0,10.6027673222711
"Bladel","GM1728",2021-12-16,33,33,31,30,29,19,19,2021-01-01,33,0,2,4,0,"-",20676,0,9.67305088024763,19.3461017604953
"Gulpen-Wittem","GM1729",2021-12-16,21,21,21,21,21,16,16,2021-01-01,21,0,0,0,0,"-",14172,0,0,0
"Tynaarlo","GM1730",2021-12-16,26,26,26,26,26,13,13,2021-01-01,26,0,0,0,0,"-",34172,0,0,0
"Midden-Drenthe","GM1731",2021-12-16,32,32,32,32,32,3,3,2021-01-01,32,0,0,0,0,"-",33653,0,0,0
"Overbetuwe","GM1734",2021-12-16,37,37,36,36,35,24,24,2021-01-01,37,0,1,2,0,"-",48329,0,2.06915102733348,4.13830205466697
"Hof van Twente","GM1735",2021-12-16,37,37,35,35,34,16,16,2021-01-01,37,0,2,3,100,"&#x279A;",35083,0,5.7007667531283,8.55115012969244
"Neder-Betuwe","GM1740",2021-12-16,51,50,49,49,48,27,27,2021-01-01,51,1,2,3,100,"&#x279A;",24975,4.004004004004,8.00800800800801,12.012012012012
"Rijssen-Holten","GM1742",2021-12-16,65,65,65,64,63,35,35,2021-01-01,65,0,0,2,-100,"&#x2798;",38268,0,0,5.22629873523571
"Geldrop-Mierlo","GM1771",2021-12-16,32,32,31,31,31,21,21,2021-01-01,32,0,1,1,100,"&#x279A;",40128,0,2.49202551834131,2.49202551834131
"Olst-Wijhe","GM1773",2021-12-16,10,10,10,10,10,8,8,2021-01-01,10,0,0,0,0,"-",18479,0,0,0
"Dinkelland","GM1774",2021-12-16,37,37,37,37,37,19,19,2021-01-01,37,0,0,0,0,"-",26586,0,0,0
"Westland","GM1783",2021-12-16,97,96,93,93,93,68,68,2021-01-01,97,1,4,4,400,"&#x279A;",112575,0.888296691094826,3.5531867643793,3.5531867643793
"Midden-Delfland","GM1842",2021-12-16,14,14,14,14,14,9,9,2021-01-01,14,0,0,0,0,"-",19527,0,0,0
"Berkelland","GM1859",2021-12-16,55,55,50,50,47,35,35,2021-01-01,55,0,5,8,66.6666666666667,"&#x279A;",43848,0,11.403028644408,18.2448458310527
"Bronckhorst","GM1876",2021-12-16,27,27,27,27,27,12,12,2021-01-01,27,0,0,0,0,"-",36105,0,0,0
"Sittard-Geleen","GM1883",2021-12-16,159,159,156,156,152,79,79,2021-01-01,159,0,3,7,-25,"&#x2798;",91830,0,3.26690623979092,7.62278122617881
"Kaag en Braassem","GM1884",2021-12-16,11,11,11,11,11,3,3,2021-01-01,11,0,0,0,0,"-",27870,0,0,0
"Dantumadiel","GM1891",2021-12-16,24,24,18,18,18,6,6,2021-01-01,24,0,6,6,600,"&#x279A;",18968,0,31.6322226908477,31.6322226908477
"Zuidplas","GM1892",2021-12-16,48,48,48,48,47,31,31,2021-01-01,48,0,0,1,-100,"&#x2798;",45712,0,0,2.18760938046902
"Peel en Maas","GM1894",2021-12-16,92,90,89,89,88,68,68,2021-01-01,92,2,3,4,200,"&#x279A;",44177,4.52724268284401,6.79086402426602,9.05448536568803
"Oldambt","GM1895",2021-12-16,39,39,39,39,39,13,13,2021-01-01,39,0,0,0,0,"-",38453,0,0,0
"Zwartewaterland","GM1896",2021-12-16,34,34,34,33,32,24,24,2021-01-01,34,0,0,2,-100,"&#x2798;",23003,0,0,8.69451810633396
"Súdwest-Fryslân","GM1900",2021-12-16,97,97,96,96,95,40,40,2021-01-01,97,0,1,2,0,"-",90245,0,1.10809463128151,2.21618926256302
"Bodegraven-Reeuwijk","GM1901",2021-12-16,39,39,39,39,39,18,18,2021-01-01,39,0,0,0,0,"-",35660,0,0,0
"Eijsden-Margraten","GM1903",2021-12-16,56,56,55,55,54,32,32,2021-01-01,56,0,1,2,0,"-",25901,0,3.86085479325123,7.72170958650245
"Stichtse Vecht","GM1904",2021-12-16,73,73,73,73,72,42,42,2021-01-01,73,0,0,1,-100,"&#x2798;",65215,0,0,1.53338955761711
"Hollands Kroon","GM1911",2021-12-16,36,36,36,36,35,9,9,2021-01-01,36,0,0,1,-100,"&#x2798;",48864,0,0,2.04649639816634
"Leidschendam-Voorburg","GM1916",2021-12-16,100,100,99,99,97,57,57,2021-01-01,100,0,1,3,-50,"&#x2798;",76547,0,1.30638692567965,3.91916077703894
"Goeree-Overflakkee","GM1924",2021-12-16,93,93,93,93,93,57,57,2021-01-01,93,0,0,0,0,"-",51007,0,0,0
"Pijnacker-Nootdorp","GM1926",2021-12-16,43,41,41,41,41,25,25,2021-01-01,43,2,2,2,200,"&#x279A;",56325,3.55082112738571,3.55082112738571,3.55082112738571
"Nissewaard","GM1930",2021-12-16,105,105,103,103,101,58,58,2021-01-01,105,0,2,4,0,"-",86205,0,2.3200510411229,4.64010208224581
"Krimpenerwaard","GM1931",2021-12-16,68,67,67,66,66,55,55,2021-01-01,68,1,1,2,0,"-",56981,1.75497095523069,1.75497095523069,3.50994191046138
"De Fryske Marren","GM1940",2021-12-16,37,37,37,37,37,13,13,2021-01-01,37,0,0,0,0,"-",51741,0,0,0
"Gooise Meren","GM1942",2021-12-16,44,44,43,43,43,22,22,2021-01-01,44,0,1,1,100,"&#x279A;",58906,0,1.69761993684854,1.69761993684854
"Berg en Dal","GM1945",2021-12-16,63,63,58,58,56,36,36,2021-01-01,63,0,5,7,150,"&#x279A;",34991,0,14.2893886999514,20.005144179932
"Meierijstad","GM1948",2021-12-16,179,179,177,177,176,148,148,2021-01-01,179,0,2,3,100,"&#x279A;",82564,0,2.42236325759411,3.63354488639116
"Waadhoeke","GM1949",2021-12-16,42,42,41,41,39,22,22,2021-01-01,42,0,1,3,-50,"&#x2798;",46360,0,2.15703192407248,6.47109577221743
"Westerwolde","GM1950",2021-12-16,25,25,24,24,24,5,5,2021-01-01,25,0,1,1,100,"&#x279A;",26898,0,3.71774853148933,3.71774853148933
"Midden-Groningen","GM1952",2021-12-16,42,42,42,42,40,18,18,2021-01-01,42,0,0,2,-100,"&#x2798;",60984,0,0,3.27954873409419
"Beekdaelen","GM1954",2021-12-16,69,69,66,66,65,31,31,2021-01-01,69,0,3,4,200,"&#x279A;",35992,0,8.33518559679929,11.1135807957324
"Montferland","GM1955",2021-12-16,31,31,29,29,29,12,12,2021-01-01,31,0,2,2,200,"&#x279A;",36299,0,5.5097936582275,5.5097936582275
"Altena","GM1959",2021-12-16,75,75,73,73,73,60,60,2021-01-01,75,0,2,2,200,"&#x279A;",56929,0,3.51314795622618,3.51314795622618
"West Betuwe","GM1960",2021-12-16,66,66,66,66,65,42,42,2021-01-01,66,0,0,1,-100,"&#x2798;",51906,0,0,1.92655954995569
"Vijfheerenlanden","GM1961",2021-12-16,81,81,79,79,78,55,55,2021-01-01,81,0,2,3,100,"&#x279A;",58554,0,3.41565051063975,5.12347576595963
"Hoeksche Waard","GM1963",2021-12-16,74,74,74,74,74,37,37,2021-01-01,74,0,0,0,0,"-",88573,0,0,0
"Het Hogeland","GM1966",2021-12-16,34,34,30,30,24,16,16,2021-01-01,34,0,4,10,-33.3333333333333,"&#x2798;",47920,0,8.34724540901503,20.8681135225376
"Westerkwartier","GM1969",2021-12-16,32,32,32,32,32,10,10,2021-01-01,32,0,0,0,0,"-",64192,0,0,0
"Noardeast-Fryslân","GM1970",2021-12-16,50,49,48,48,48,14,14,2021-01-01,50,1,2,2,200,"&#x279A;",45512,2.19722271049394,4.39444542098787,4.39444542098787
"Molenlanden","GM1978",2021-12-16,44,44,43,43,42,21,20,2021-01-05,44,0,1,2,0,"-",44621,0,2.2410972412093,4.48219448241859
"Eemsdelta","GM1979",2021-12-16,29,29,27,27,27,4,4,2021-01-01,29,0,2,2,200,"&#x279A;",45352,0,4.4099488445934,4.4099488445934
